"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Age_d"
89,"1","1","female",23,3,2,263,"S","Adulto"
90,"0","3","male",24,0,0,8.05,"S","Adulto"
91,"0","3","male",29,0,0,8.05,"S","Adulto"
92,"0","3","male",20,0,0,7.8542,"S","Adulto"
93,"0","1","male",46,1,0,61.175,"S","Adulto"
94,"0","3","male",26,1,2,20.575,"S","Adulto"
95,"0","3","male",59,0,0,7.25,"S","Adulto"
96,"0","3","male",25,0,0,8.05,"S","Adulto"
97,"0","1","male",71,0,0,34.6542,"C","Anciano"
98,"1","1","male",23,0,1,63.3583,"C","Adulto"
99,"1","2","female",34,0,1,23,"S","Adulto"
100,"0","2","male",34,1,0,26,"S","Adulto"
101,"0","3","female",28,0,0,7.8958,"S","Adulto"
102,"0","3","male",25,0,0,7.8958,"S","Adulto"
103,"0","1","male",21,0,1,77.2875,"S","Adulto"
104,"0","3","male",33,0,0,8.6542,"S","Adulto"
105,"0","3","male",37,2,0,7.925,"S","Adulto"
106,"0","3","male",28,0,0,7.8958,"S","Adulto"
107,"1","3","female",21,0,0,7.65,"S","Adulto"
108,"1","3","male",25,0,0,7.775,"S","Adulto"
109,"0","3","male",38,0,0,7.8958,"S","Adulto"
110,"1","3","female",21.5,1,0,24.15,"Q","Adulto"
111,"0","1","male",47,0,0,52,"S","Adulto"
112,"0","3","female",14.5,1,0,14.4542,"C","Niño"
113,"0","3","male",22,0,0,8.05,"S","Adulto"
114,"0","3","female",20,1,0,9.825,"S","Adulto"
115,"0","3","female",17,0,0,14.4583,"C","Niño"
116,"0","3","male",21,0,0,7.925,"S","Adulto"
117,"0","3","male",70.5,0,0,7.75,"Q","Anciano"
118,"0","2","male",29,1,0,21,"S","Adulto"
119,"0","1","male",24,0,1,247.5208,"C","Adulto"
120,"0","3","female",2,4,2,31.275,"S","Niño"
121,"0","2","male",21,2,0,73.5,"S","Adulto"
122,"0","3","male",25,0,0,8.05,"S","Adulto"
123,"0","2","male",32.5,1,0,30.0708,"C","Adulto"
124,"1","2","female",32.5,0,0,13,"S","Adulto"
125,"0","1","male",54,0,1,77.2875,"S","Adulto"
126,"1","3","male",12,1,0,11.2417,"C","Niño"
127,"0","3","male",25,0,0,7.75,"Q","Adulto"
128,"1","3","male",24,0,0,7.1417,"S","Adulto"
129,"1","3","female",21.5,1,1,22.3583,"C","Adulto"
130,"0","3","male",45,0,0,6.975,"S","Adulto"
131,"0","3","male",33,0,0,7.8958,"C","Adulto"
132,"0","3","male",20,0,0,7.05,"S","Adulto"
133,"0","3","female",47,1,0,14.5,"S","Adulto"
134,"1","2","female",29,1,0,26,"S","Adulto"
135,"0","2","male",25,0,0,13,"S","Adulto"
136,"0","2","male",23,0,0,15.0458,"C","Adulto"
137,"1","1","female",19,0,2,26.2833,"S","Adulto"
138,"0","1","male",37,1,0,53.1,"S","Adulto"
139,"0","3","male",16,0,0,9.2167,"S","Niño"
140,"0","1","male",24,0,0,79.2,"C","Adulto"
141,"0","3","female",21.5,0,2,15.2458,"C","Adulto"
142,"1","3","female",22,0,0,7.75,"S","Adulto"
143,"1","3","female",24,1,0,15.85,"S","Adulto"
144,"0","3","male",19,0,0,6.75,"Q","Adulto"
145,"0","2","male",18,0,0,11.5,"S","Adulto"
146,"0","2","male",19,1,1,36.75,"S","Adulto"
147,"1","3","male",27,0,0,7.7958,"S","Adulto"
148,"0","3","female",9,2,2,34.375,"S","Niño"
149,"0","2","male",36.5,0,2,26,"S","Adulto"
150,"0","2","male",42,0,0,13,"S","Adulto"
151,"0","2","male",51,0,0,12.525,"S","Adulto"
152,"1","1","female",22,1,0,66.6,"S","Adulto"
153,"0","3","male",55.5,0,0,8.05,"S","Adulto"
154,"0","3","male",40.5,0,2,14.5,"S","Adulto"
155,"0","3","male",25,0,0,7.3125,"S","Adulto"
156,"0","1","male",51,0,1,61.3792,"C","Adulto"
157,"1","3","female",16,0,0,7.7333,"Q","Niño"
158,"0","3","male",30,0,0,8.05,"S","Adulto"
159,"0","3","male",25,0,0,8.6625,"S","Adulto"
160,"0","3","male",25,8,2,69.55,"S","Adulto"
161,"0","3","male",44,0,1,16.1,"S","Adulto"
162,"1","2","female",40,0,0,15.75,"S","Adulto"
163,"0","3","male",26,0,0,7.775,"S","Adulto"
164,"0","3","male",17,0,0,8.6625,"S","Niño"
165,"0","3","male",1,4,1,39.6875,"S","Niño"
166,"1","3","male",9,0,2,20.525,"S","Niño"
167,"1","1","female",35,0,1,55,"S","Adulto"
168,"0","3","female",45,1,4,27.9,"S","Adulto"
169,"0","1","male",40,0,0,25.925,"S","Adulto"
170,"0","3","male",28,0,0,56.4958,"S","Adulto"
171,"0","1","male",61,0,0,33.5,"S","Adulto"
172,"0","3","male",4,4,1,29.125,"Q","Niño"
173,"1","3","female",1,1,1,11.1333,"S","Niño"
174,"0","3","male",21,0,0,7.925,"S","Adulto"
175,"0","1","male",56,0,0,30.6958,"C","Adulto"
176,"0","3","male",18,1,1,7.8542,"S","Adulto"
177,"0","3","male",25,3,1,25.4667,"S","Adulto"
178,"0","1","female",50,0,0,28.7125,"C","Adulto"
179,"0","2","male",30,0,0,13,"S","Adulto"
180,"0","3","male",36,0,0,0,"S","Adulto"
181,"0","3","female",21.5,8,2,69.55,"S","Adulto"
182,"0","2","male",30,0,0,15.05,"C","Adulto"
183,"0","3","male",9,4,2,31.3875,"S","Niño"
184,"1","2","male",1,2,1,39,"S","Niño"
185,"1","3","female",4,0,2,22.025,"S","Niño"
186,"0","1","male",40,0,0,50,"S","Adulto"
187,"1","3","female",21.5,1,0,15.5,"Q","Adulto"
188,"1","1","male",45,0,0,26.55,"S","Adulto"
189,"0","3","male",40,1,1,15.5,"Q","Adulto"
190,"0","3","male",36,0,0,7.8958,"S","Adulto"
191,"1","2","female",32,0,0,13,"S","Adulto"
192,"0","2","male",19,0,0,13,"S","Adulto"
193,"1","3","female",19,1,0,7.8542,"S","Adulto"
194,"1","2","male",3,1,1,26,"S","Niño"
195,"1","1","female",44,0,0,27.7208,"C","Adulto"
196,"1","1","female",58,0,0,146.5208,"C","Adulto"
197,"0","3","male",25,0,0,7.75,"Q","Adulto"
198,"0","3","male",42,0,1,8.4042,"S","Adulto"
199,"1","3","female",21.5,0,0,7.75,"Q","Adulto"
200,"0","2","female",24,0,0,13,"S","Adulto"
201,"0","3","male",28,0,0,9.5,"S","Adulto"
202,"0","3","male",25,8,2,69.55,"S","Adulto"
203,"0","3","male",34,0,0,6.4958,"S","Adulto"
204,"0","3","male",45.5,0,0,7.225,"C","Adulto"
205,"1","3","male",18,0,0,8.05,"S","Adulto"
206,"0","3","female",2,0,1,10.4625,"S","Niño"
207,"0","3","male",32,1,0,15.85,"S","Adulto"
208,"1","3","male",26,0,0,18.7875,"C","Adulto"
209,"1","3","female",16,0,0,7.75,"Q","Niño"
210,"1","1","male",40,0,0,31,"C","Adulto"
211,"0","3","male",24,0,0,7.05,"S","Adulto"
212,"1","2","female",35,0,0,21,"S","Adulto"
213,"0","3","male",22,0,0,7.25,"S","Adulto"
214,"0","2","male",30,0,0,13,"S","Adulto"
215,"0","3","male",25,1,0,7.75,"Q","Adulto"
216,"1","1","female",31,1,0,113.275,"C","Adulto"
217,"1","3","female",27,0,0,7.925,"S","Adulto"
218,"0","2","male",42,1,0,27,"S","Adulto"
219,"1","1","female",32,0,0,76.2917,"C","Adulto"
220,"0","2","male",30,0,0,10.5,"S","Adulto"
221,"1","3","male",16,0,0,8.05,"S","Niño"
222,"0","2","male",27,0,0,13,"S","Adulto"
223,"0","3","male",51,0,0,8.05,"S","Adulto"
224,"0","3","male",25,0,0,7.8958,"S","Adulto"
225,"1","1","male",38,1,0,90,"S","Adulto"
226,"0","3","male",22,0,0,9.35,"S","Adulto"
227,"1","2","male",19,0,0,10.5,"S","Adulto"
228,"0","3","male",20.5,0,0,7.25,"S","Adulto"
229,"0","2","male",18,0,0,13,"S","Adulto"
230,"0","3","female",21.5,3,1,25.4667,"S","Adulto"
231,"1","1","female",35,1,0,83.475,"S","Adulto"
232,"0","3","male",29,0,0,7.775,"S","Adulto"
233,"0","2","male",59,0,0,13.5,"S","Adulto"
234,"1","3","female",5,4,2,31.3875,"S","Niño"
235,"0","2","male",24,0,0,10.5,"S","Adulto"
236,"0","3","female",21.5,0,0,7.55,"S","Adulto"
237,"0","2","male",44,1,0,26,"S","Adulto"
238,"1","2","female",8,0,2,26.25,"S","Niño"
239,"0","2","male",19,0,0,10.5,"S","Adulto"
240,"0","2","male",33,0,0,12.275,"S","Adulto"
241,"0","3","female",21.5,1,0,14.4542,"C","Adulto"
242,"1","3","female",21.5,1,0,15.5,"Q","Adulto"
243,"0","2","male",29,0,0,10.5,"S","Adulto"
244,"0","3","male",22,0,0,7.125,"S","Adulto"
245,"0","3","male",30,0,0,7.225,"C","Adulto"
246,"0","1","male",44,2,0,90,"Q","Adulto"
247,"0","3","female",25,0,0,7.775,"S","Adulto"
248,"1","2","female",24,0,2,14.5,"S","Adulto"
249,"1","1","male",37,1,1,52.5542,"S","Adulto"
250,"0","2","male",54,1,0,26,"S","Adulto"
251,"0","3","male",25,0,0,7.25,"S","Adulto"
252,"0","3","female",29,1,1,10.4625,"S","Adulto"
253,"0","1","male",62,0,0,26.55,"S","Anciano"
254,"0","3","male",30,1,0,16.1,"S","Adulto"
255,"0","3","female",41,0,2,20.2125,"S","Adulto"
256,"1","3","female",29,0,2,15.2458,"C","Adulto"
257,"1","1","female",35,0,0,79.2,"C","Adulto"
258,"1","1","female",30,0,0,86.5,"S","Adulto"
259,"1","1","female",35,0,0,512.3292,"C","Adulto"
260,"1","2","female",50,0,1,26,"S","Adulto"
261,"0","3","male",25,0,0,7.75,"Q","Adulto"
262,"1","3","male",3,4,2,31.3875,"S","Niño"
263,"0","1","male",52,1,1,79.65,"S","Adulto"
264,"0","1","male",40,0,0,0,"S","Adulto"
265,"0","3","female",21.5,0,0,7.75,"Q","Adulto"
266,"0","2","male",36,0,0,10.5,"S","Adulto"
267,"0","3","male",16,4,1,39.6875,"S","Niño"
268,"1","3","male",25,1,0,7.775,"S","Adulto"
269,"1","1","female",58,0,1,153.4625,"S","Adulto"
270,"1","1","female",35,0,0,135.6333,"S","Adulto"
271,"0","1","male",40,0,0,31,"S","Adulto"
272,"1","3","male",25,0,0,0,"S","Adulto"
273,"1","2","female",41,0,1,19.5,"S","Adulto"
274,"0","1","male",37,0,1,29.7,"C","Adulto"
275,"1","3","female",21.5,0,0,7.75,"Q","Adulto"
276,"1","1","female",63,1,0,77.9583,"S","Anciano"
277,"0","3","female",45,0,0,7.75,"S","Adulto"
278,"0","2","male",30,0,0,0,"S","Adulto"
279,"0","3","male",7,4,1,29.125,"Q","Niño"
280,"1","3","female",35,1,1,20.25,"S","Adulto"
281,"0","3","male",65,0,0,7.75,"Q","Anciano"
282,"0","3","male",28,0,0,7.8542,"S","Adulto"
283,"0","3","male",16,0,0,9.5,"S","Niño"
284,"1","3","male",19,0,0,8.05,"S","Adulto"
285,"0","1","male",40,0,0,26,"S","Adulto"
286,"0","3","male",33,0,0,8.6625,"C","Adulto"
287,"1","3","male",30,0,0,9.5,"S","Adulto"
288,"0","3","male",22,0,0,7.8958,"S","Adulto"
289,"1","2","male",42,0,0,13,"S","Adulto"
290,"1","3","female",22,0,0,7.75,"Q","Adulto"
291,"1","1","female",26,0,0,78.85,"S","Adulto"
292,"1","1","female",19,1,0,91.0792,"C","Adulto"
293,"0","2","male",36,0,0,12.875,"C","Adulto"
294,"0","3","female",24,0,0,8.85,"S","Adulto"
295,"0","3","male",24,0,0,7.8958,"S","Adulto"
296,"0","1","male",40,0,0,27.7208,"C","Adulto"
297,"0","3","male",23.5,0,0,7.2292,"C","Adulto"
298,"0","1","female",2,1,2,151.55,"S","Niño"
299,"1","1","male",40,0,0,30.5,"S","Adulto"
300,"1","1","female",50,0,1,247.5208,"C","Adulto"
301,"1","3","female",21.5,0,0,7.75,"Q","Adulto"
302,"1","3","male",25,2,0,23.25,"Q","Adulto"
303,"0","3","male",19,0,0,0,"S","Adulto"
304,"1","2","female",28,0,0,12.35,"Q","Adulto"
305,"0","3","male",25,0,0,8.05,"S","Adulto"
306,"1","1","male",0.92,1,2,151.55,"S","Niño"
307,"1","1","female",35,0,0,110.8833,"C","Adulto"
308,"1","1","female",17,1,0,108.9,"C","Niño"
309,"0","2","male",30,1,0,24,"C","Adulto"
310,"1","1","female",30,0,0,56.9292,"C","Adulto"
311,"1","1","female",24,0,0,83.1583,"C","Adulto"
312,"1","1","female",18,2,2,262.375,"C","Adulto"
313,"0","2","female",26,1,1,26,"S","Adulto"
314,"0","3","male",28,0,0,7.8958,"S","Adulto"
315,"0","2","male",43,1,1,26.25,"S","Adulto"
316,"1","3","female",26,0,0,7.8542,"S","Adulto"
317,"1","2","female",24,1,0,26,"S","Adulto"
318,"0","2","male",54,0,0,14,"S","Adulto"
319,"1","1","female",31,0,2,164.8667,"S","Adulto"
320,"1","1","female",40,1,1,134.5,"C","Adulto"
321,"0","3","male",22,0,0,7.25,"S","Adulto"
322,"0","3","male",27,0,0,7.8958,"S","Adulto"
323,"1","2","female",30,0,0,12.35,"Q","Adulto"
324,"1","2","female",22,1,1,29,"S","Adulto"
325,"0","3","male",25,8,2,69.55,"S","Adulto"
326,"1","1","female",36,0,0,135.6333,"C","Adulto"
327,"0","3","male",61,0,0,6.2375,"S","Adulto"
328,"1","2","female",36,0,0,13,"S","Adulto"
329,"1","3","female",31,1,1,20.525,"S","Adulto"
330,"1","1","female",16,0,1,57.9792,"C","Niño"
331,"1","3","female",21.5,2,0,23.25,"Q","Adulto"
332,"0","1","male",45.5,0,0,28.5,"S","Adulto"
333,"0","1","male",38,0,1,153.4625,"S","Adulto"
334,"0","3","male",16,2,0,18,"S","Niño"
335,"1","1","female",35,1,0,133.65,"S","Adulto"
336,"0","3","male",25,0,0,7.8958,"S","Adulto"
337,"0","1","male",29,1,0,66.6,"S","Adulto"
338,"1","1","female",41,0,0,134.5,"C","Adulto"
339,"1","3","male",45,0,0,8.05,"S","Adulto"
340,"0","1","male",45,0,0,35.5,"S","Adulto"
341,"1","2","male",2,1,1,26,"S","Niño"
342,"1","1","female",24,3,2,263,"S","Adulto"
343,"0","2","male",28,0,0,13,"S","Adulto"
344,"0","2","male",25,0,0,13,"S","Adulto"
345,"0","2","male",36,0,0,13,"S","Adulto"
346,"1","2","female",24,0,0,13,"S","Adulto"
347,"1","2","female",40,0,0,13,"S","Adulto"
348,"1","3","female",21.5,1,0,16.1,"S","Adulto"
349,"1","3","male",3,1,1,15.9,"S","Niño"
350,"0","3","male",42,0,0,8.6625,"S","Adulto"
351,"0","3","male",23,0,0,9.225,"S","Adulto"
352,"0","1","male",40,0,0,35,"S","Adulto"
353,"0","3","male",15,1,1,7.2292,"C","Niño"
354,"0","3","male",25,1,0,17.8,"S","Adulto"
355,"0","3","male",25,0,0,7.225,"C","Adulto"
356,"0","3","male",28,0,0,9.5,"S","Adulto"
357,"1","1","female",22,0,1,55,"S","Adulto"
358,"0","2","female",38,0,0,13,"S","Adulto"
359,"1","3","female",21.5,0,0,7.8792,"Q","Adulto"
360,"1","3","female",21.5,0,0,7.8792,"Q","Adulto"
361,"0","3","male",40,1,4,27.9,"S","Adulto"
362,"0","2","male",29,1,0,27.7208,"C","Adulto"
363,"0","3","female",45,0,1,14.4542,"C","Adulto"
364,"0","3","male",35,0,0,7.05,"S","Adulto"
365,"0","3","male",25,1,0,15.5,"Q","Adulto"
366,"0","3","male",30,0,0,7.25,"S","Adulto"
367,"1","1","female",60,1,0,75.25,"C","Adulto"
368,"1","3","female",21.5,0,0,7.2292,"C","Adulto"
369,"1","3","female",21.5,0,0,7.75,"Q","Adulto"
370,"1","1","female",24,0,0,69.3,"C","Adulto"
371,"1","1","male",25,1,0,55.4417,"C","Adulto"
372,"0","3","male",18,1,0,6.4958,"S","Adulto"
373,"0","3","male",19,0,0,8.05,"S","Adulto"
374,"0","1","male",22,0,0,135.6333,"C","Adulto"
375,"0","3","female",3,3,1,21.075,"S","Niño"
376,"1","1","female",35,1,0,82.1708,"C","Adulto"
377,"1","3","female",22,0,0,7.25,"S","Adulto"
378,"0","1","male",27,0,2,211.5,"C","Adulto"
379,"0","3","male",20,0,0,4.0125,"C","Adulto"
380,"0","3","male",19,0,0,7.775,"S","Adulto"
381,"1","1","female",42,0,0,227.525,"C","Adulto"
382,"1","3","female",1,0,2,15.7417,"C","Niño"
383,"0","3","male",32,0,0,7.925,"S","Adulto"
384,"1","1","female",35,1,0,52,"S","Adulto"
385,"0","3","male",25,0,0,7.8958,"S","Adulto"
386,"0","2","male",18,0,0,73.5,"S","Adulto"
387,"0","3","male",1,5,2,46.9,"S","Niño"
388,"1","2","female",36,0,0,13,"S","Adulto"
389,"0","3","male",25,0,0,7.7292,"Q","Adulto"
390,"1","2","female",17,0,0,12,"C","Niño"
391,"1","1","male",36,1,2,120,"S","Adulto"
392,"1","3","male",21,0,0,7.7958,"S","Adulto"
393,"0","3","male",28,2,0,7.925,"S","Adulto"
394,"1","1","female",23,1,0,113.275,"C","Adulto"
395,"1","3","female",24,0,2,16.7,"S","Adulto"
396,"0","3","male",22,0,0,7.7958,"S","Adulto"
397,"0","3","female",31,0,0,7.8542,"S","Adulto"
398,"0","2","male",46,0,0,26,"S","Adulto"
399,"0","2","male",23,0,0,10.5,"S","Adulto"
400,"1","2","female",28,0,0,12.65,"S","Adulto"
401,"1","3","male",39,0,0,7.925,"S","Adulto"
402,"0","3","male",26,0,0,8.05,"S","Adulto"
403,"0","3","female",21,1,0,9.825,"S","Adulto"
404,"0","3","male",28,1,0,15.85,"S","Adulto"
405,"0","3","female",20,0,0,8.6625,"S","Adulto"
406,"0","2","male",34,1,0,21,"S","Adulto"
407,"0","3","male",51,0,0,7.75,"S","Adulto"
408,"1","2","male",3,1,1,18.75,"S","Niño"
409,"0","3","male",21,0,0,7.775,"S","Adulto"
410,"0","3","female",21.5,3,1,25.4667,"S","Adulto"
411,"0","3","male",25,0,0,7.8958,"S","Adulto"
412,"0","3","male",25,0,0,6.8583,"Q","Adulto"
413,"1","1","female",33,1,0,90,"Q","Adulto"
414,"0","2","male",30,0,0,0,"S","Adulto"
415,"1","3","male",44,0,0,7.925,"S","Adulto"
416,"0","3","female",21.5,0,0,8.05,"S","Adulto"
417,"1","2","female",34,1,1,32.5,"S","Adulto"
418,"1","2","female",18,0,2,13,"S","Adulto"
419,"0","2","male",30,0,0,13,"S","Adulto"
420,"0","3","female",10,0,2,24.15,"S","Niño"
421,"0","3","male",25,0,0,7.8958,"C","Adulto"
422,"0","3","male",21,0,0,7.7333,"Q","Adulto"
423,"0","3","male",29,0,0,7.875,"S","Adulto"
424,"0","3","female",28,1,1,14.4,"S","Adulto"
425,"0","3","male",18,1,1,20.2125,"S","Adulto"
426,"0","3","male",25,0,0,7.25,"S","Adulto"
427,"1","2","female",28,1,0,26,"S","Adulto"
428,"1","2","female",19,0,0,26,"S","Adulto"
429,"0","3","male",25,0,0,7.75,"Q","Adulto"
430,"1","3","male",32,0,0,8.05,"S","Adulto"
431,"1","1","male",28,0,0,26.55,"S","Adulto"
432,"1","3","female",21.5,1,0,16.1,"S","Adulto"
433,"1","2","female",42,1,0,26,"S","Adulto"
434,"0","3","male",17,0,0,7.125,"S","Niño"
435,"0","1","male",50,1,0,55.9,"S","Adulto"
436,"1","1","female",14,1,2,120,"S","Niño"
437,"0","3","female",21,2,2,34.375,"S","Adulto"
438,"1","2","female",24,2,3,18.75,"S","Adulto"
439,"0","1","male",64,1,4,263,"S","Anciano"
440,"0","2","male",31,0,0,10.5,"S","Adulto"
441,"1","2","female",45,1,1,26.25,"S","Adulto"
442,"0","3","male",20,0,0,9.5,"S","Adulto"
443,"0","3","male",25,1,0,7.775,"S","Adulto"
444,"1","2","female",28,0,0,13,"S","Adulto"
445,"1","3","male",25,0,0,8.1125,"S","Adulto"
446,"1","1","male",4,0,2,81.8583,"S","Niño"
447,"1","2","female",13,0,1,19.5,"S","Niño"
448,"1","1","male",34,0,0,26.55,"S","Adulto"
449,"1","3","female",5,2,1,19.2583,"C","Niño"
450,"1","1","male",52,0,0,30.5,"S","Adulto"
451,"0","2","male",36,1,2,27.75,"S","Adulto"
452,"0","3","male",25,1,0,19.9667,"S","Adulto"
453,"0","1","male",30,0,0,27.75,"C","Adulto"
454,"1","1","male",49,1,0,89.1042,"C","Adulto"
455,"0","3","male",25,0,0,8.05,"S","Adulto"
456,"1","3","male",29,0,0,7.8958,"C","Adulto"
457,"0","1","male",65,0,0,26.55,"S","Anciano"
458,"1","1","female",35,1,0,51.8625,"S","Adulto"
459,"1","2","female",50,0,0,10.5,"S","Adulto"
460,"0","3","male",25,0,0,7.75,"Q","Adulto"
461,"1","1","male",48,0,0,26.55,"S","Adulto"
462,"0","3","male",34,0,0,8.05,"S","Adulto"
463,"0","1","male",47,0,0,38.5,"S","Adulto"
464,"0","2","male",48,0,0,13,"S","Adulto"
465,"0","3","male",25,0,0,8.05,"S","Adulto"
466,"0","3","male",38,0,0,7.05,"S","Adulto"
467,"0","2","male",30,0,0,0,"S","Adulto"
468,"0","1","male",56,0,0,26.55,"S","Adulto"
469,"0","3","male",25,0,0,7.725,"Q","Adulto"
470,"1","3","female",0.75,2,1,19.2583,"C","Niño"
471,"0","3","male",25,0,0,7.25,"S","Adulto"
472,"0","3","male",38,0,0,8.6625,"S","Adulto"
473,"1","2","female",33,1,2,27.75,"S","Adulto"
474,"1","2","female",23,0,0,13.7917,"C","Adulto"
475,"0","3","female",22,0,0,9.8375,"S","Adulto"
476,"0","1","male",40,0,0,52,"S","Adulto"
477,"0","2","male",34,1,0,21,"S","Adulto"
478,"0","3","male",29,1,0,7.0458,"S","Adulto"
479,"0","3","male",22,0,0,7.5208,"S","Adulto"
480,"1","3","female",2,0,1,12.2875,"S","Niño"
481,"0","3","male",9,5,2,46.9,"S","Niño"
482,"0","2","male",30,0,0,0,"S","Adulto"
483,"0","3","male",50,0,0,8.05,"S","Adulto"
484,"1","3","female",63,0,0,9.5875,"S","Anciano"
485,"1","1","male",25,1,0,91.0792,"C","Adulto"
486,"0","3","female",21.5,3,1,25.4667,"S","Adulto"
487,"1","1","female",35,1,0,90,"S","Adulto"
488,"0","1","male",58,0,0,29.7,"C","Adulto"
489,"0","3","male",30,0,0,8.05,"S","Adulto"
490,"1","3","male",9,1,1,15.9,"S","Niño"
491,"0","3","male",25,1,0,19.9667,"S","Adulto"
492,"0","3","male",21,0,0,7.25,"S","Adulto"
493,"0","1","male",55,0,0,30.5,"S","Adulto"
494,"0","1","male",71,0,0,49.5042,"C","Anciano"
495,"0","3","male",21,0,0,8.05,"S","Adulto"
